objet_id;type_objet;objet_ids_lies;finalite_ou_question;role_suppose_a_confirmer;donnees_fictives;personnes_fictives;prestataire_ou_pays;preuve_actuelle;inconnue;responsable;revue_specialiste;decision;action_id;horizon_mois;date_revue
FIN-ORB-001;Finalité;TRT-ORB-001|ACTION-ORB-001;Gérer les contacts de facturation d’Orbia;Qualification portée par le traitement relié;Nom fonction et e-mail entièrement fictifs;Contacts fictifs de clients;Outil comptable et pays à vérifier;Liste des champs disponible;Base et durée à confirmer;Direction financière;oui;Faire qualifier avant une mise en production réelle;ACTION-ORB-001;12;2026-07-24
TRT-ORB-001;Traitement responsable;FIN-ORB-001|ACTION-ORB-001;Gérer les contacts de facturation d’Orbia;Responsable de traitement possible à confirmer;Nom fonction et e-mail entièrement fictifs;Contacts fictifs de clients;Outil comptable et pays à vérifier;Liste des champs disponible;Base et durée à confirmer;Direction financière;oui;Cartographier avant une mise en production réelle;ACTION-ORB-001;12;2026-07-24
FIN-ORB-002;Finalité;AST-ORB-001|ACTION-ORB-002;Organiser les sessions demandées par l’entreprise cliente;Qualification portée par l’activité reliée;Nom et adresse professionnelle entièrement fictifs;Salariés fictifs du client;Hébergement et support à vérifier;Scénario fictif disponible;Instructions du client à confirmer;Responsable produit;oui;Maintenir le pilote en données fictives;ACTION-ORB-002;12;2026-07-24
AST-ORB-001;Activité sous-traitée;FIN-ORB-002|PREST-ORB-001|FLUX-ORB-001|TEST-ORB-005|ACTION-ORB-002;Organiser les sessions de formation demandées par l’entreprise cliente;Sous-traitant possible à confirmer;Nom et adresse professionnelle entièrement fictifs;Salariés fictifs du client;Hébergement EEE à vérifier;Scénario fictif de création et suppression exécuté;Instructions et durée contractuelle à confirmer;Responsable produit;oui;Pilote fictif uniquement;ACTION-ORB-002;12;2026-07-24
PREST-ORB-001;Prestataire;AST-ORB-001|FLUX-ORB-001|ACTION-ORB-003;Envoyer les e-mails de session;Qualification dans la chaîne à confirmer;Nom e-mail et contenu entièrement fictifs;Salariés fictifs du client;Fournisseur e-mail pays et accès à confirmer;Contrat fournisseur disponible;Sous-traitants ultérieurs et transfert à confirmer;Responsable technique;oui;STOP tant que le flux n’est pas documenté;ACTION-ORB-003;12;2026-07-24
FLUX-ORB-001;Flux ou accès;AST-ORB-001|PREST-ORB-001|ACTION-ORB-003;Acheminer un e-mail de session fictif;Qualification à confirmer;Adresse et contenu entièrement fictifs;Salariés fictifs du client;Origine destination et support distant à confirmer;Schéma d’architecture disponible;Pays accès et mécanisme éventuel à confirmer;Responsable technique;oui;Rester en données fictives;ACTION-ORB-003;12;2026-07-24
FIN-ORB-003;Finalité;TRT-ORB-002|ACTION-ORB-004;Résumer des commentaires de formation avec une fonction IA;Finalité et rôle à réexaminer;Texte libre entièrement fictif;Salariés et formateurs fictifs;Fournisseur IA et pays à confirmer;Aucune preuve suffisante;Nécessité base entraînement conservation transfert et désactivation inconnus;Direction produit;oui;Fonction désactivée avec données réelles;ACTION-ORB-004;12;2026-07-24
TRT-ORB-002;Traitement ou nouvelle finalité;FIN-ORB-003|ACTION-ORB-004;Résumer des commentaires de formation avec une fonction IA;Responsable de traitement ou autre rôle à confirmer;Texte libre entièrement fictif;Salariés et formateurs fictifs;Fournisseur IA et pays à confirmer;Aucune preuve suffisante;Entraînement conservation transfert et désactivation inconnus;Direction produit;oui;Fonction désactivée avec données réelles;ACTION-ORB-004;12;2026-07-24
TEST-ORB-005;Test;AST-ORB-001|ACTION-ORB-005;Restituer les données et fermer le compte d’un client fictif;Obligation produit et contractuelle à qualifier;Comptes sessions pièces jointes et journaux fictifs;Client et salariés fictifs;Stockage sauvegardes et support à confirmer;Export fictif partiel;Relations pièces jointes sauvegardes et délai d’effacement à confirmer;Responsable opérations;oui;Tester avant signature;ACTION-ORB-005;12;2026-07-24
ACTION-ORB-001;Action;FIN-ORB-001|TRT-ORB-001;Faire confirmer la base la durée et les destinataires;Aucune qualification déduite de cette action;Aucune donnée personnelle réelle;Personnes uniquement fictives;Spécialiste et outil comptable à identifier;Questions et champs préparés;Auteur de la qualification et coût inconnus;Direction financière;oui;Obtenir une réponse datée et sourcée;ACTION-ORB-001;12;2026-07-24
