ID;Type de travail;Demande reçue;Segment;Objectif du lot;Problème observé;Preuve disponible;Résultat attendu;Portée trimestre;Impact (3 massif, 2 élevé, 1 moyen, 0,5 faible, 0,25 minimal);Confiance;Effort jours-personnes;Score RICE;Jours du lot;Décision;Condition d'acceptation;Signal de réexamen;Responsable
EX-01;Non négociable;Corriger la double création d'une facture;Responsables financiers de PME;Valider plus vite sans créer de doublon;Une reprise réseau peut créer deux factures;Défaut reproduit sur un dossier autorisé;Une validation ne crée qu'une facture;;;;;;8;Corriger avant le lot;Tests de reprise réseau et aucun doublon dans les journaux;Nouveau doublon observé;Responsable produit
EX-02;Candidat comparable;Valider cinquante dossiers en une action;Responsables financiers de PME;Valider plus vite sans créer de doublon;Les mêmes actions sont répétées dossier par dossier;40 comptes concernés et chronométrage à compléter;Temps de validation réduit sans validation involontaire;40;2;0,8;11,25;=I3*J3*K3/L3;12;Construire;Droits annulation et temps avant-après testés;Confiance égale ou inférieure à 0,4 ou effort supérieur à 15 jours-personnes;Responsable produit
EX-03;Hypothèse à tester;Ajouter un tableau de bord personnalisable;Responsables financiers de PME;Décider plus tôt sur les dossiers en retard;La décision à prendre grâce aux graphiques n'est pas nommée;120 comptes voient les données mais aucun usage décisionnel prouvé;Une décision identifiable est prise grâce au rapport;120;1;0,5;20,5;=I4*J4*K4/L4;3;Tester avec trois rapports manuels;Les trois rapports déclenchent une décision et leur production reste coûteuse;Aucune décision après trois rapports;Responsable métier
EX-04;Alternative existante;Connecter le SaaS au système d'un prospect;Comptes du segment cible utilisant le système partenaire;Éviter une double saisie sans créer un second référentiel;Accès données droits support et sortie restent à tester;8 comptes cibles et connecteur standard identifié;Un flux isolé passe avec traces et procédure de sortie;8;3;0,5;12;=I5*J5*K5/L5;;Tester puis acheter ou connecter;Connecteur validé sur données droits erreurs support et export;Échec d'un cas critique ou coût complet supérieur au spécifique;Responsable intégration
EX-05;Candidat comparable;Choisir la couleur de chaque écran;Administrateurs du segment cible;Valider plus vite sans créer de doublon;Préférence sans travail bloqué;6 comptes ont formulé le problème contre 60 visites de la page;Un besoin vérifiable apparaît;6;0,5;0,8;5;=I6*J6*K6/L6;;Reporter;Aucune construction dans ce lot;Nouvelle preuve d'usage reliée à l'objectif;Responsable produit
01;;;;;;;;;;;;;;;;;
02;;;;;;;;;;;;;;;;;
03;;;;;;;;;;;;;;;;;
04;;;;;;;;;;;;;;;;;
05;;;;;;;;;;;;;;;;;
