check_id;domaine;question_a_verifier;preuve_attendue;methode_de_test;resultat;si_non_teste;bloque_augmentation_budget;objet_lie;responsable;revue_specialisee;date_dernier_test;prochaine_action;statut
MES-001;taxonomie campagne;chaque campagne a-t-elle une clé stable et une famille explicite;export avec campaign_key famille et version;rapprocher nomenclature export et carte campagnes;à renseigner;reste inconnu;oui si les coûts ne peuvent pas être ventilés;CAM-S-NB-001|CAM-S-BR-001|CAM-PMAX-001|CAM-DG-001;à nommer;à confirmer;AAAA-MM-JJ;corriger les clés ou documenter les exceptions;à tester
MES-002;marque et hors marque;les dépenses et résultats de marque sont-ils séparés du hors marque;rapport ventilé et règle de classement;échantillonner les termes et rapprocher les campagnes;à renseigner;reste inconnu;oui si la marque masque l’acquisition;CAM-S-NB-001|CAM-S-BR-001;à nommer;à confirmer;AAAA-MM-JJ;isoler puis reconstituer la cohorte;à tester
MES-003;Search;les requêtes ou termes observables correspondent-ils à l’intention et aux exclusions;rapport de termes daté et liste d’exclusions;contrôler un échantillon et relier aux ICP CRM;à renseigner;reste inconnu;oui si les dépenses non pertinentes sont matérielles;CAM-S-NB-001;à nommer;à confirmer;AAAA-MM-JJ;documenter les familles et exclusions;à tester
MES-004;Performance Max;le budget la marque et les chevauchements sont-ils identifiables;exports paramètres rapports et journal de versions;comparer périodes campagnes et résultats CRM;à renseigner;reste inconnu;oui si sa contribution ne peut pas être isolée;CAM-PMAX-001;à nommer;à confirmer;AAAA-MM-JJ;concevoir un test limité et traçable;à tester
MES-005;Demand Gen;l’audience la création et la fréquence sont-elles reliées à un résultat métier;exports audience création fréquence et cohorte;contrôler versions et résultats CRM puis produit;à renseigner;reste inconnu;oui si seul un signal haut de funnel est disponible;CAM-DG-001;à nommer;à confirmer;AAAA-MM-JJ;définir le résultat et la maturité;à tester
MES-006;CMP et consentement;le comportement par défaut avant choix est-il observé et documenté;captures expurgées journaux et configuration versionnée;tester une session neuve dans les zones pertinentes;à renseigner;reste inconnu;oui si les signaux envoyés ne sont pas maîtrisés;EVT-001|EVT-002;à nommer;DPO ou juriste et technique selon le cas;AAAA-MM-JJ;faire qualifier puis corriger si nécessaire;à tester
MES-007;CMP et refus;le refus produit-il le comportement attendu dans le site et les outils;captures expurgées réseau et journaux;refuser puis vérifier les appels et événements;à renseigner;reste inconnu;oui si le comportement réel contredit la décision documentée;EVT-001|EVT-002;à nommer;DPO ou juriste et technique selon le cas;AAAA-MM-JJ;faire qualifier puis corriger si nécessaire;à tester
MES-008;CMP et retrait;le retrait ou changement de choix est-il pris en compte;preuve de retrait et nouveau comportement observé;accepter puis retirer et contrôler les flux;à renseigner;reste inconnu;oui si le retrait n’est pas répercuté;EVT-001|EVT-002;à nommer;DPO ou juriste et technique selon le cas;AAAA-MM-JJ;faire qualifier puis corriger si nécessaire;à tester
MES-009;déduplication;un même envoi ou rejeu technique crée-t-il une seule conversion métier;clé unique journal de rejeu et résultat;envoyer deux fois le même événement fictif;à renseigner;reste inconnu;oui si les conversions peuvent être doublées;EVT-002|EVT-003|EVT-004|EVT-005|EVT-006|EVT-007|EVT-008;à nommer;technique et données;AAAA-MM-JJ;corriger la clé et rejouer le test;à tester
MES-010;vérité CRM;les étapes ICP SQL opportunité et contrat ont-elles des critères stables;définitions versionnées historique et échantillon fictif;rapprocher événements et changements d’état;à renseigner;reste inconnu;oui si le signal importé ne représente pas le résultat décidé;EVT-003|EVT-004|EVT-005|EVT-006;à nommer;vente finance et données;AAAA-MM-JJ;aligner les définitions et la gouvernance;à tester
