record_type;object_id;related_object_ids;question_de_decision;fait_ou_hypothese;valeur;unite;periode_ou_horizon;systeme_de_reference;couche_de_verite;importable_dans_ads;classe_marque;canal;attribution;incrementalite;preuve;prochaine_action
contexte;SCN-ATF-PILOT;COH-ATF-001;que sait-on réellement de ce pilote;AtelierFlow est un SaaS B2B entièrement fictif;fictif;statut;exemple pédagogique;aucun;cadre fictif;non;à confirmer;agrégé;non applicable;non applicable;aucune preuve réelle;ne jamais utiliser ces nombres comme norme de marché
coût;COUT-ATF-PILOT-MEDIA;COH-ATF-001;combien de média a été associé à la cohorte;dépense média fictive;12000;EUR;cohorte pilote fictive;comptabilité fictive;vérité financière fictive;non;marque et hors marque à séparer;Search Performance Max et Demand Gen à ventiler;à documenter;non démontrée;aucune preuve réelle;aligner période média et cohorte
coût;COUT-ATF-PILOT-PILOTAGE;COH-ATF-001;quel pilotage est directement attribué à la cohorte;pilotage fictif;4500;EUR;cohorte pilote fictive;comptabilité fictive;vérité financière fictive;non;non applicable;agrégé;non applicable;non applicable;aucune preuve réelle;justifier l’affectation dans un cas réel
coût;COUT-ATF-PILOT-SETUP;COH-ATF-001;quelle part de page et configuration est attribuée à la cohorte;page et configuration initiale fictives;2000;EUR;cohorte pilote fictive;comptabilité fictive;vérité financière fictive;non;non applicable;agrégé;non applicable;non applicable;aucune preuve réelle;éviter de compter la totalité du site si elle sert ailleurs
coût;COUT-ATF-PILOT-CREATIVES;COH-ATF-001;quelles créations sont attribuées à la cohorte;créations fictives;1500;EUR;cohorte pilote fictive;comptabilité fictive;vérité financière fictive;non;non applicable;agrégé;non applicable;non applicable;aucune preuve réelle;relier les versions utilisées pendant la cohorte
coût;COUT-ATF-PILOT-DATA;COH-ATF-001;quels travaux de données sont attribués à la cohorte;données et diagnostics fictifs;1000;EUR;cohorte pilote fictive;comptabilité fictive;vérité financière fictive;non;non applicable;agrégé;non applicable;non applicable;aucune preuve réelle;inclure uniquement paramétrage contrôles et erreurs attribuables
coût;COUT-ATF-PILOT-SALES;COH-ATF-001;quel temps commercial est attribué à la cohorte;60 heures fictives valorisées à 50 EUR;3000;EUR;cohorte pilote fictive;registre de temps fictif;valeur économique fictive non décaissée;non;non applicable;agrégé;non applicable;non applicable;aucune preuve réelle;ne pas confondre avec une sortie de trésorerie
coût;COUT-ATF-PILOT-TOTAL;COUT-ATF-PILOT-MEDIA|COUT-ATF-PILOT-PILOTAGE|COUT-ATF-PILOT-SETUP|COUT-ATF-PILOT-CREATIVES|COUT-ATF-PILOT-DATA|COUT-ATF-PILOT-SALES;quel coût d’acquisition complet est attribué à la cohorte;total complet fictif de contrôle;24000;EUR;cohorte pilote fictive;registre de coûts fictif;vérité financière fictive;non;marque et hors marque à séparer;agrégé à ventiler;à documenter;non démontrée;12000 plus 4500 plus 2000 plus 1500 plus 1000 plus 3000;ne pas recompter cette ligne avec ses six composants
volume;STG-CLICK;COH-ATF-001;combien de clics ont été observés;clics publicitaires fictifs;2000;clics;cohorte pilote fictive;plateforme fictive;signal publicitaire;déjà présent;marque et hors marque à séparer;agrégé à ventiler;selon règle à documenter;non démontrée;aucune preuve réelle;retirer trafic invalide et tests internes puis ventiler
volume;STG-LEAD;COH-ATF-001|EVT-002;combien de demandes dédupliquées ont été reçues;leads fictifs;80;leads;cohorte pilote fictive;CRM fictif;vérité CRM après contrôles à confirmer;oui à confirmer;marque et hors marque à séparer;agrégé à ventiler;selon règle à documenter;non démontrée;aucune preuve réelle;retirer spam et doublons
volume;STG-ICP;COH-ATF-001|EVT-003;combien de leads correspondent à l’ICP;ICP confirmés fictifs;32;ICP;cohorte pilote fictive;CRM fictif;vérité CRM fictive;oui à confirmer;marque et hors marque à séparer;agrégé à ventiler;selon règle à documenter;non démontrée;aucune preuve réelle;faire valider les critères de qualification
volume;STG-SQL;COH-ATF-001|EVT-004;combien de dossiers sont acceptés par la vente;SQL fictifs;16;SQL;cohorte pilote fictive;CRM fictif;vérité CRM fictive;oui à confirmer;marque et hors marque à séparer;agrégé à ventiler;selon règle à documenter;non démontrée;aucune preuve réelle;figer la définition SQL
volume;STG-OPP;COH-ATF-001|EVT-005;combien de projets commerciaux sont ouverts;opportunités fictives;8;opportunités;cohorte pilote fictive;CRM fictif;vérité CRM fictive;oui à confirmer;marque et hors marque à séparer;agrégé à ventiler;selon règle à documenter;non démontrée;aucune preuve réelle;dédupliquer par opportunity_key
volume;STG-SIGN;COH-ATF-001|EVT-006;combien de contrats sont signés;contrats signés fictifs;4;contrats;cohorte pilote fictive;CRM et facturation fictifs;vérité commerciale fictive;oui à confirmer;marque et hors marque à séparer;agrégé à ventiler;selon règle à documenter;non démontrée;aucune preuve réelle;rapprocher annulations impayés et contrats
volume;STG-ACT;COH-ATF-001|EVT-007;combien de comptes atteignent l’activation;comptes activés fictifs;3;comptes;cohorte pilote fictive;produit fictif;vérité produit fictive;non retenu comme signal importable dans le scénario fictif - conserver dans le produit;marque et hors marque à séparer;agrégé à ventiler;non applicable à cet horizon;non démontrée;aucune preuve réelle;utiliser SQL ou opportunité comme signal plus précoce à examiner
